country,director,genres,id_IMDb,name,rating_IMDb,year
СССР,Олег Ерышев,"музыкальный,короткометражный,телефильм",8202526,Грустить не надо,7.4,1985
СССР,Борис Степанов,"историко,приключенческий",2151641,Государственная граница. Восточный рубеж,7.2,1982
СССР,Александр Муратов,детективный фильм,0127374,Гонки по вертикали (фильм),6.6,1982
СССР,Вадим Дербенёв,киноповесть,0349497,Гончарный круг (фильм),None,1974
unknown,unknown,unknown,unknown,В. Давыдов и Голиаф,unknown,unknown
СССР,Тимур Золоев,"детский,приключение,криминальный",1714844,Голубой патруль (фильм),5.7,1974
СССР,Николай Лукьянов,"Детектив,мюзикл",0284153,Голубой карбункул (фильм),4.8,1979
СССР,Владимир Назаров,"мелодрама,производственный фильм",4903362,"Голубка (фильм, 1978)",6.2,1978
СССР,Тимур Золоев,"драма,военный фильм,шпионский фильм",4901364,"Где ты был, Одиссей?",5.9,1978
СССР,Валерий Кремнёв,детектив,0096724,Вход в лабиринт,6.7,1989
СССР,Марат Арипов,экранизация,0239168,Гляди веселей,7.3,1982
СССР,Леонид Марягин,мелодрама,0072383,Вылет задерживается,7.4,1974
СССР,Сергей Тарасов,"Киноповесть,экранизация",4862712,Встреча на далёком меридиане (фильм),5.8,1977
СССР,Вадим Костроменко,военный фильм,3683846,"Всадники (фильм, 1972)",6.8,1972
СССР,Владимир Храмов,"военный фильм,драма",0266019,Встреча перед разлукой,5.7,1985
СССР,Ада Неретниеце,драматический фильм,0175638,Гадание на бараньей лопатке,5.9,1988
СССР,Геннадий Иванов,историко-приключенческий,2693920,Государственная граница. На дальнем пограничье,6.8,1988
СССР,Георгий Юнгвальд-Хилькевич,"музыкально,приключенческая,комедия,фильм плаща и шпаги",0076998,Д’Артаньян и три мушкетёра,7.8,1978
СССР,Инесса Селезнёва,драма,0232915,Всем — спасибо!..,6.0,1981
СССР,Валентин Николаевич Плучек,комедия,unknown,"Безумный день, или Женитьба Фигаро (спектакль)",unknown,1969
СССР,Вадим Зобин,"психологическая драма,детектив",0094577,"Воскресенье, половина седьмого",7.0,1988
СССР,Александр Игишев,детский фильм,1718952,Вот и лето прошло… (фильм),6.3,1972
СССР,Владимир Савельев,"шпионский фильм,детективный фильм",2177341,Выгодный контракт,6.3,1979
СССР,"Артур Войтецкий,Олег Гойда,Вячеслав Криштофович","детский фильм,приключения,экранизация",1673552,Волны Чёрного моря (фильм),5.9,1976
СССР,Наум Бирман,"лирическая ,комедия",0334650,Волшебная сила,7.4,1970
СССР,Абай Карпыков,драма,0310321,Влюблённая рыбка,6.7,1989
СССР,Юрий Сааков,комедия,5793198,Воспоминание о «Коровьем марше»,None,1991
СССР,Михаил Пташук,"военная,драма",4854174,Время выбрало нас,6.5,1979
СССР,Дмитрий Долинин,"мелодрама,экранизация",0334622,"Виктория (фильм, 1987)",6.3,1987
СССР,Ян Фрид,"мюзикл,мелодрама,комедия",0086558,"Вольный ветер (фильм, 1983)",6.2,1983
СССР,Евгений Васильев,мелодрама,3003670,Во бору брусника,7.5,1988
СССР,Эльдор Уразбаев,детектив,0092477,Визит к Минотавру,7.4,1987
СССР,Сурен Шахбазян,драма,4897710,Вижу цель,5.8,1979
СССР,Евгений Гинзбург,комедия,0267092,Весёлая хроника опасного путешествия,7.3,1986
СССР,Юрий Цветков,"детский фильм,сказка",0332812,"Весенняя сказка (фильм, 1971)",6.5,1971
СССР,Юрий Дубровин,Политический памфлет,4683976,Вашингтонский корреспондент,6.6,1972
СССР,Инесса Селезнёва,"приключение,драма,роуд-муви",0332479,Ваши права?,5.9,1974
"СССР,Болгария",Станислав Говорухин,приключенческий фильм,0088635,В поисках капитана Гранта,8.3,1986
СССР,Юрий Тупицкий,военный,3005780,В лесах под Ковелем,5.9,1984
СССР,Евгений Марковский,драма,0310301,"Вечный муж (фильм, 1990)",6.0,1990
СССР,Ростислав Горяев,мелодрама,1407957,Будни и праздники Серафимы Глюкиной,7.1,1988
СССР,"Нинель Ненова-Цулая,Гено Цулая",лирическая кинокомедия,0822013,Брак по-имеретински,6.9,1981
СССР,Алоиз Бренч,"музыкальная,комедия",2396559,Большой янтарь,4.9,1971
СССР,Вячеслав Никифоров,приключения,1517161,Большое приключение,6.2,1985
"СССР,Болгария",Семён Аранович,"политический ,детектив",0094427,"Большая игра (фильм, 1988)",6.6,1988
СССР,Анатолий Дудоров,unknown,3211276,Большие перегоны,6.2,1971
